marca,modelo,ano_vehic,km,combustible,puertas,cv,transmision,ubicacion,precio,idade,km_era_ausente,marca_agrupada,possivel_classico
VOLKSWAGEN,GOLF 2. 8 V6 4MOTION,2000.0,280000.0,gasolina,3.0,204.0,manual,MADRID,3999,21.0,0,VOLKSWAGEN,1
PEUGEOT,3008 1. 5 BLUEHDI 96KW SS GT EAT8,2021.0,0.0,diesel,5.0,130.0,automatico,MALAGA,33400,0.0,1,PEUGEOT,0
PEUGEOT,208 BLUEHDI 73KW 100CV ACTIVE,2020.0,0.0,diesel,5.0,100.0,manual,MALAGA,15900,1.0,1,PEUGEOT,0
MERCEDES-BENZ,CLASE E E 500 4MATIC AVANTGARDE AUTO,2007.0,163000.0,gasolina,4.0,388.0,automatico,ALICANTE,12490,14.0,0,MERCEDES-BENZ,0
MAZDA,CX7 2. 2 CRTD LUXURYSR,2011.0,238000.0,diesel,5.0,173.0,manual,PONTEVEDRA,7990,10.0,0,OUTRAS,0
TOYOTA,AVENSIS 2. 0 D4D EXECUTIVE,2005.0,174000.0,diesel,4.0,116.0,manual,VALLADOLID,5500,16.0,0,OUTRAS,0
FORD,MONDEO 2. 0 TDCI 140 GHIA,2007.0,210000.0,diesel,5.0,140.0,manual,ZARAGOZA,4999,14.0,0,FORD,0
PEUGEOT,308 5P ALLURE BLUEHDI 130 SS EAT8,2020.0,39800.0,diesel,5.0,130.0,automatico,MADRID,17490,1.0,0,PEUGEOT,0
OPEL,CROSSLAND X,2019.0,8000.0,gasolina,5.0,110.0,manual,MADRID,14500,2.0,0,OPEL,0
MINI,MINI ONE MINIMALISM LINE 75 CV,2010.0,160000.0,gasolina,3.0,75.0,manual,VALLADOLID,7900,11.0,0,OUTRAS,0
NISSAN,QASHQAI 2. 0 TEKNA 4X2,2009.0,160000.0,gasolina,5.0,140.0,manual,ZARAGOZA,6998,12.0,0,NISSAN,0
OPEL,INSIGNIA ST 1. 6 CDTI SS ECOFLEX 136 CV BUSINESS,2016.0,141000.0,diesel,5.0,136.0,manual,VALLADOLID,10500,5.0,0,OPEL,0
OPEL,VECTRA ELEGANCE 1. 9 CDTI 8V 120 CV,2006.0,245000.0,diesel,5.0,120.0,manual,ZARAGOZA,3299,15.0,0,OPEL,0
MERCEDES-BENZ,CLASE C C 220 BLUETEC SPORTIVE EXCLUSIVE ESTATE,2015.0,83000.0,diesel,5.0,170.0,automatico,OURENSE,20000,6.0,0,MERCEDES-BENZ,0
RENAULT,TALISMAN S. T. ZEN BLUE DCI 118KW 160CV EDC,2020.0,9703.0,diesel,5.0,160.0,automatico,CANTABRIA,24490,1.0,0,RENAULT,0
PORSCHE,911 CARRERA 4 COUPE,2001.0,192000.0,gasolina,2.0,320.0,manual,CASTELLON,30000,20.0,0,OUTRAS,0
PEUGEOT,308 SW ACTIVE 1. 6 BLUEHDI 88KW 120CV,2017.0,152000.0,diesel,5.0,120.0,manual,CASTELLON,10000,4.0,0,PEUGEOT,0
